Date,Close,High,Low,Open,Volume
,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
2002-07-01,147.52120971679688,149.95352383492664,144.99443092070072,147.26143905903237,113852
2002-07-02,148.96165466308594,152.55109507696497,148.06429816293658,148.67827513322783,166016
2002-07-03,148.4657440185547,152.31494040504936,147.35584932209426,149.36310047471895,196486
2002-07-04,150.26051330566406,151.06341983326098,149.59930379585347,149.59930379585347,233997
2002-07-05,153.0470733642578,155.85723225662454,151.0870534776277,151.0870534776277,472596
2002-07-08,160.0370330810547,160.5801690053269,154.91263362866832,156.32951747283295,317179
2002-07-09,158.99798583984375,162.42212194035804,157.27411330638046,160.24956373875335,456642
2002-07-10,155.6210479736328,159.63555148736842,154.91260617709125,158.97434202658664,98892
2002-07-11,152.7400665283203,155.85721368467114,152.19693063601596,155.85721368467114,68794
2002-07-12,154.8889923095703,156.80177933432878,153.96801223792525,154.34584208546514,63190
2002-07-15,151.44126892089844,155.29046723954747,150.66198567077618,154.91263730412098,87809
2002-07-16,148.77281188964844,151.58297076843502,148.3005172487289,150.42584313286676,47189
2002-07-17,145.34866333007812,150.14245064335987,144.04985317846896,148.34773692645126,122953
2002-07-18,147.47401428222656,148.77282465620934,145.2306145453472,145.51399423687414,173079
2002-07-19,145.1125030517578,148.3004913205922,141.6883675037505,141.6883675037505,84246
2002-07-22,142.58572387695312,145.32504095554992,141.31053722101305,142.63295621531077,103234
2002-07-23,144.56932067871094,145.98620389788167,140.76734205930057,141.68832191707412,78746
2002-07-24,141.2397003173828,146.29325851568535,139.77559852630657,144.99444831094561,189959
2002-07-25,135.6666259765625,147.35591750979114,134.3914247712589,147.35591750979114,266291
2002-07-26,131.5340118408203,136.82371574838578,130.42411693724466,134.74560851901703,178532
2002-07-29,129.4087371826172,133.13986212383773,116.20810284199665,132.19527280133687,386909
2002-07-30,130.58946228027344,136.4931450235046,129.92825269568914,132.24249344837816,254176
2002-07-31,126.14987182617188,128.46411214015737,120.43510513139753,120.43510513139753,325601
2002-08-01,124.11898803710938,132.1952268178691,120.5531703503367,127.04721968360656,438415
2002-08-02,127.04721069335938,128.4404851261277,120.6712354355142,122.7965605214626,229465
2002-08-05,130.47140502929688,132.2897424254853,128.36968794314706,128.36968794314706,297447
2002-08-06,132.00633239746094,134.5567201943968,128.511355459935,131.01451091718408,184716
2002-08-07,129.1253662109375,134.55675518158984,128.46415652325527,133.18710345425728,164013
2002-08-08,129.50314331054688,131.77015089394686,128.46408976040698,130.25880289615841,166449
2002-08-09,130.11712646484375,131.29786263966085,128.93639029002665,131.29786263966085,94358
2002-08-12,133.989990234375,135.54855672407527,129.88102125129163,130.68392787525121,182823
2002-08-13,134.93455505371094,136.02082672404015,132.5494589926966,135.0053963516393,156701
2002-08-14,141.07437133789062,141.92449566307124,131.86462869086935,131.86462869086935,650771
2002-08-15,141.07437133789062,141.07437133789062,141.07437133789062,141.07437133789062,0
2002-08-16,141.9717254638672,144.52211280722017,140.29507138953858,141.21605140313343,762266
2002-08-19,141.5230255126953,145.7028341730887,140.7437425723839,143.1052147631957,487314
2002-08-20,138.92544555664062,143.45947633328828,137.910015108873,141.75921299038458,259312
2002-08-21,133.63575744628906,139.56304867194882,132.97453350232385,139.279669040719,206978
2002-08-22,131.2978973388672,135.47770738501015,130.82560274412305,134.13166490733195,203546
2002-08-23,129.55035400390625,133.61208890995047,128.4640826001734,133.42317402407718,194880
2002-08-26,131.06175231933594,133.13984568966973,128.9364266060494,129.36148886604923,169296
2002-08-27,127.56674194335938,133.1870433732623,127.28336237267442,133.1870433732623,164835
2002-08-28,129.29061889648438,129.88098701929937,122.3242750472674,122.3242750472674,88618
2002-08-29,125.3705825805664,131.6757027149741,124.68574978047349,131.06172562152042,404807
2002-08-30,127.04721069335938,128.3224115102417,126.33876899804324,127.04721069335938,204888
2002-09-02,127.18890380859375,129.8809882392297,125.91371729930648,129.8809882392297,310499
2002-09-03,129.4087371826172,129.88103184386762,127.7084735194578,129.4087371826172,117646
